product_name,product_display,product_camera,product_storage,product_ram,product_battery,product_price
OnePlus 7T Pro,6.67,72.0,256,8,4085,5992.5
Samsung Galaxy S10e (Qualcomm Snapdragon 855) 128GB,5.8,28.0,128,6,3100,2865.0
Samsung Galaxy S10e,5.8,28.0,128,6,3100,5347.5
Samsung Galaxy S10e (Qualcomm Snapdragon 855),5.8,28.0,256,8,3100,0
Asus ROG Phone 5,6.78,82.0,256,16,6000,0
ZTE Nubia Z30 Pro,6.67,200.0,512,16,4200,0
OnePlus 7 Pro,6.67,72.0,256,12,4000,2925.0
Apple iPhone 12 Pro Max,6.7,36.0,512,6,3687,0
Xiaomi Redmi K30 Pro Zoom,6.67,87.0,512,12,4700,0
ZTE Axon 30 Pro 5G,6.67,135.0,256,8,4200,0
Meizu 18 Pro,6.7,90.0,256,12,4500,0
LG V50 ThinQ 5G,6.4,40.0,128,6,4000,4275.0
Sony Xperia 1,6.5,40.0,128,6,3330,0
LG V50S ThinQ 5G,6.4,25.0,256,8,4000,0
Xiaomi Mi 11X Pro,6.43,121.0,256,8,4520,0
Sony Xperia 5,6.1,36.0,128,6,3140,0
